passenger_id,booking_id,suspicious_email_count
e8727da9-a63c-4c70-8173-5fed105dcfd6,B000001,5
96db706b-766d-43fe-b81a-998eed1a42ff,B000001,5
51c0fa03-3dc9-4ea8-a392-bd4a53a05eb8,B000001,5
91b1a68e-9ca6-48f0-be71-419ea2d89ce8,B000001,5
3f14e0c0-eb5b-4667-ab9a-b7c108e3060b,B000001,5
d181e572-5e8d-4d49-85e8-01b0afd8b49a,B000001,5
2bab410f-1a9f-464b-a201-40cea6967aee,B000002,0
2059c2d1-5d24-4502-b429-e5517c6d9700,B000003,0
298bd94e-cdb2-4c08-93bc-0bdf663491fa,B000003,0
04bdda4c-eb2c-4cd0-8650-249e623a2788,B000003,0
b3248c6c-5a32-447e-91c7-d08d9c531702,B000003,0
69fe9e50-9c8c-4045-aaf5-f4d713c841b3,B000003,0
7e7383d4-0e85-449c-b0fb-9fb90bf37bc8,B000003,0
01842b47-8487-4f03-b4c0-9404a575256c,B000004,2
bbf0a237-5a98-4742-ab25-25ffb5c7c22f,B000004,2
a4e6c4fb-1223-4872-8d5a-eaddf1757666,B000005,0
0ba80c4f-1db3-435b-a46a-77efebd62f5d,B000005,0
85bdff37-faa8-43ea-b948-648dea8abad4,B000005,0
28147811-0851-424d-ba25-cfb863a49b96,B000006,0
a9ec873e-01ef-4ae9-bc23-2f7e0308333d,B000007,0
7524cdd6-5f64-4677-a7a6-fbd3c5f52b02,B000007,0
e0d1f2f2-e264-49f1-bdd3-63fee0a99f0a,B000007,0
6e2e67cd-5570-4dc4-b07e-b47e5bcf05c7,B000008,0
5b875b28-84f4-46f9-9001-300e134d6053,B000009,2
fd91a8ca-ffd0-4d85-8834-4d145a3a53b8,B000009,2
66c3dd17-a1d9-4cdb-81fc-7cc9fd30fe49,B000010,0
23d511f2-440f-4a39-89e2-1d79190cf349,B000010,0
819082ac-2d2a-4c11-a069-abfe8f829726,B000010,0
18abc48f-a081-443f-b51e-6231494f2892,B000011,0
8eb5add1-a998-44c9-b3da-10609549b8e7,B000012,1
3c507a33-f4cf-4bac-98fe-adecb4030c43,B000012,1
f17aae9e-6a66-4326-885a-db6e9d1a4c96,B000012,1
274aaf4d-daa7-4286-87df-46747c81f1e6,B000013,1
