booking_id,lead_time_days,is_cancelled,cancel_delay_days,is_disputed,dispute_delay_days,chargeback_amount,final_loss_amount
B000001,0.06741573032950386,0.0,0.0,0.0,0.0,0.0,0.0
B000002,0.01123595505491731,0.0,0.0,0.0,0.0,0.0,0.0
B000003,0.21348314604342888,0.0,0.0,0.0,0.0,0.0,0.0
B000004,0.03370786516475193,0.0,0.0,0.0,0.0,0.0,0.0
B000005,0.17977528087867695,0.0,0.0,0.0,0.0,0.0,0.0
B000006,0.10112359549425579,0.0,0.0,0.0,0.0,0.0,0.0
B000007,0.7078651684597905,0.0,0.0,0.0,0.0,0.0,0.0
B000008,0.6067415729655347,0.0,0.0,0.0,0.0,0.0,0.0
B000009,0.764044943734377,0.0,0.0,0.0,0.0,0.0,0.0
B000010,0.5730337078007828,0.0,0.0,0.0,0.0,0.0,0.0
B000011,0.7865168538442117,0.0,0.0,0.0,0.0,0.0,0.0
B000012,0.33707865164751927,0.0,0.0,0.0,0.0,0.0,0.0
B000013,0.15730337076884232,0.0,0.0,0.0,0.0,0.0,0.0
B000014,0.10112359549425579,0.0,0.0,0.0,0.0,0.0,0.0
B000015,0.6853932583499559,0.0,0.0,0.0,0.0,0.0,0.0
B000016,0.10112359549425579,0.0,0.0,0.0,0.0,0.0,0.0
B000017,0.13483146065900772,0.0,0.0,0.0,0.0,0.0,0.0
B000018,0.16853932582375963,0.0,0.0,0.0,0.0,0.0,0.0
B000019,0.19101123593359426,0.0,0.0,0.0,0.0,0.0,0.0
B000020,0.10112359549425579,0.0,0.0,0.0,0.0,0.0,0.0
B000021,0.01123595505491731,0.0,0.0,0.0,0.0,0.0,0.0
B000022,0.06741573032950386,0.0,0.0,0.0,0.0,0.0,0.0
B000023,0.6629213482401213,0.0,0.0,0.0,0.0,0.0,0.0
B000024,0.01123595505491731,0.9999999900000002,0.0,0.0,0.0,0.0,0.0
B000025,0.1123595505491731,0.0,0.0,0.0,0.0,0.0,0.0
B000026,0.01123595505491731,0.0,0.0,0.0,0.0,0.0,0.0
B000027,0.15730337076884232,0.0,0.0,0.0,0.0,0.0,0.0
B000028,0.146067415713925,0.0,0.0,0.0,0.0,0.0,0.0
B000029,0.146067415713925,0.0,0.0,0.0,0.0,0.0,0.0
B000030,0.39325842692210583,0.0,0.0,0.0,0.0,0.0,0.0
B000031,0.17977528087867695,0.0,0.0,0.0,0.0,0.0,0.0
B000032,0.8426966291187982,0.0,0.0,0.0,0.0,0.0,0.0
B000033,0.20224719098851157,0.0,0.0,0.0,0.0,0.0,0.0
B000034,0.01123595505491731,0.0,0.0,0.0,0.0,0.0,0.0
B000035,0.05617977527458655,0.0,0.0,0.0,0.0,0.0,0.0
B000036,0.42696629208685777,0.0,0.0,0.0,0.0,0.0,0.0
B000037,0.01123595505491731,0.0,0.0,0.0,0.0,0.0,0.0
B000038,0.146067415713925,0.0,0.0,0.0,0.0,0.0,0.0
B000039,0.1123595505491731,0.0,0.0,0.0,0.0,0.0,0.0
B000040,0.21348314604342888,0.0,0.0,0.0,0.0,0.0,0.0
B000041,0.06741573032950386,0.0,0.0,0.0,0.0,0.0,0.0
B000042,0.6404494381302867,0.0,0.0,0.0,0.0,0.0,0.0
B000043,0.20224719098851157,0.0,0.0,0.0,0.0,0.0,0.0
B000044,0.4831460673614443,0.0,0.0,0.0,0.0,0.0,0.0
B000045,0.08988764043933847,0.0,0.0,0.0,0.0,0.0,0.0
B000046,0.10112359549425579,0.0,0.0,0.0,0.0,0.0,0.0
B000047,0.07865168538442116,0.0,0.0,0.0,0.0,0.0,0.0
B000048,0.42696629208685777,0.0,0.0,0.0,0.0,0.0,0.0
B000049,0.26966292131801545,0.9999999900000002,0.0,0.0,0.0,0.0,0.0
B000050,0.5505617976909482,0.0,0.0,0.0,0.0,0.0,0.0
B000051,0.15730337076884232,0.0,0.0,0.0,0.0,0.0,0.0
B000052,0.15730337076884232,0.0,0.0,0.0,0.0,0.0,0.0
B000053,0.5955056179106174,0.0,0.0,0.0,0.0,0.0,0.0
B000054,0.10112359549425579,0.0,0.0,0.0,0.0,0.0,0.0
B000055,0.4382022471417751,0.0,0.0,0.0,0.0,0.0,0.0
B000056,0.16853932582375963,0.0,0.0,0.0,0.0,0.0,0.0
B000057,0.06741573032950386,0.0,0.0,0.0,0.0,0.0,0.0
B000058,0.3820224718671885,0.0,0.0,0.0,0.0,0.0,0.0
B000059,0.17977528087867695,0.0,0.0,0.0,0.0,0.0,0.0
B000060,0.15730337076884232,0.0,0.0,0.0,0.0,0.0,0.0
B000061,0.23595505615326348,0.0,0.0,0.0,0.0,0.0,0.0
B000062,0.5393258426360309,0.0,0.0,0.0,0.0,0.0,0.0
B000063,0.7865168538442117,0.0,0.0,0.0,0.0,0.0,0.0
B000064,0.4831460673614443,0.0,0.0,0.0,0.0,0.0,0.0
B000065,0.07865168538442116,0.0,0.0,0.0,0.0,0.0,0.0
B000066,0.06741573032950386,0.9999999900000002,0.4999999975,0.0,0.0,0.0,0.0
B000067,0.0,0.0,0.0,0.9999999900000002,0.8837209300270417,0.8910042201991901,0.8252419860394141
B000068,0.10112359549425579,0.0,0.0,0.0,0.0,0.0,0.0
B000069,0.16853932582375963,0.0,0.0,0.0,0.0,0.0,0.0
B000070,0.7528089886794597,0.0,0.0,0.0,0.0,0.0,0.0
B000071,0.04494382021966924,0.0,0.0,0.0,0.0,0.0,0.0
B000072,0.42696629208685777,0.0,0.0,0.0,0.0,0.0,0.0
B000073,0.06741573032950386,0.0,0.0,0.0,0.0,0.0,0.0
B000074,0.13483146065900772,0.0,0.0,0.0,0.0,0.0,0.0
B000075,0.07865168538442116,0.0,0.0,0.0,0.0,0.0,0.0
B000076,0.17977528087867695,0.9999999900000002,0.4999999975,0.0,0.0,0.0,0.0
B000077,0.06741573032950386,0.0,0.0,0.0,0.0,0.0,0.0
B000078,0.05617977527458655,0.0,0.0,0.0,0.0,0.0,0.0
