passenger_id,booking_id,user_id,agency_id,passenger_email_domain,is_suspicious_domain
9d4d5588-e30c-4bfd-83da-67a473cd541c,B000001,U00567,A0072,discard.email,1
a3496805-28c1-40ab-862d-9b963c0d45ad,B000001,U00567,A0072,sharklasers.com,1
91435306-c17e-4cd2-a5df-7accf72e57db,B000001,U00567,A0072,mailinator.com,1
50f841f6-ebf1-4c18-b5c9-f8b2b64ca5be,B000001,U00567,A0072,aerolink.uk,0
2cd940ed-7dea-4d92-b2d6-b70107ed0fe4,B000001,U00567,A0072,mailinator.com,1
739b87ea-5ca4-4314-b6d1-d8c618bef084,B000001,U00567,A0072,discard.email,1
75465dc2-f280-48a3-a994-20b119573532,B000002,U00607,A0082,globeways.in,0
f5927657-6b51-46d1-8131-122cf6cd4e23,B000003,U00272,A0105,travelprime.com,0
5c06d7a8-f97b-4c66-a20d-9b7d8a97bd6d,B000003,U00272,A0105,travelprime.com,0
57cea155-4c86-48d9-8208-8da0972540fd,B000003,U00272,A0105,travelprime.com,0
81b00739-30a8-4017-9736-a03be678d438,B000003,U00272,A0105,mail.com,0
41b5b243-7332-47c5-b6ec-cc2685e36840,B000003,U00272,A0105,travelprime.com,0
7c4d28da-de06-4084-90b7-e6c771a478d2,B000003,U00272,A0105,travelprime.com,0
28988c08-d063-4cfe-8d72-84662c9fb4fe,B000004,U00642,A0179,discard.email,1
fd649c52-5c15-44c8-b322-8726a0139acf,B000004,U00642,A0179,throwaway.email,1
b1eb0df0-de10-4962-83d9-21aab4e616fd,B000005,U00448,A0124,skybound.co,0
22bc1f97-4814-432b-a36b-4a60452ec434,B000005,U00448,A0124,skybound.co,0
b9c94092-3782-4d6d-91ef-de75add80ec8,B000005,U00448,A0124,skybound.co,0
cd7e1a8c-4837-42e3-b288-818fdfa57509,B000006,U00078,A0172,routemaster.co,0
41516be5-ea29-422a-adcd-20a0e5113018,B000007,U00349,A0039,yahoo.com,0
1e3f44fb-4453-452d-b6f3-8d540cec2bff,B000007,U00349,A0039,skyroute.in,0
23a17da1-6a59-48a2-954f-1478d9808b5e,B000007,U00349,A0039,skyroute.in,0
2c4c3013-34fd-4c4c-bc02-d46b6882859d,B000008,U00587,A0106,flybright.ae,0
fb38567b-8670-4e9c-930c-17199e4fc406,B000009,U00207,A0121,discard.email,1
c785c7d8-9f38-465e-b464-2015b555654f,B000009,U00207,A0121,trashmail.net,1
9253fcd2-a8b7-4681-bffc-35f463bbfb8c,B000010,U00099,A0149,travelworks.sg,0
8490051d-864b-40b7-92b0-0c99fa2777e2,B000010,U00099,A0149,travelworks.sg,0
f1cec76d-1f7c-4e84-a38a-223feb0eb7f7,B000010,U00099,A0149,gmail.com,0
fa0cdc66-b6d1-439d-b4f2-4c694de5e9d4,B000011,U00581,A0154,flyscope.ae,0
8e67f537-8f14-4ce6-b438-4441043bdd74,B000012,U00513,A0102,mailinator.com,1
498e2852-1218-4fcf-9550-03e411706790,B000012,U00513,A0102,flynext.sg,0
14d14ab5-4c80-40ab-b7be-ac310fd8f610,B000012,U00513,A0102,hotmail.com,0
00fb088c-8390-49e3-814d-796e12dd1ddd,B000013,U00117,A0145,guerrillamail.com,1
331cbd73-dd69-430d-9e51-f085c2f3fc58,B000013,U00117,A0145,travelprime.com,0
225ace5f-e006-400e-8dbe-6dd09094958e,B000013,U00117,A0145,yandex.com,0
d260eae5-08be-4cc3-9a32-5e61b6fd99dc,B000013,U00117,A0145,travelprime.com,0
1e19ffce-5865-45a9-be5d-a26e46aa30ef,B000014,U00018,A0168,gmail.com,0
f9ac117f-0174-4c23-8f70-af5d48c3ab94,B000015,U00298,A0176,aerobiz.uk,0
912084a9-cab3-4be6-80d9-2dc5a6f7ec79,B000015,U00298,A0176,aerobiz.uk,0
46b79050-f0c5-4594-97fe-4d88ec0751e1,B000015,U00298,A0176,outlook.com,0
b7f715a1-4926-4354-99c7-0cacc272d386,B000016,U00059,A0148,sharklasers.com,1
48d68494-ca33-4cbb-ac8a-7c6924a55688,B000016,U00059,A0148,tempmail.xyz,1
14e0388b-69bd-4c91-81ae-bdeae8276087,B000017,U00455,A0025,travelprime.com,0
d8e8e702-d045-4883-96ce-108bae8328bd,B000017,U00455,A0025,travelprime.com,0
d744fe96-f045-4faa-ac77-0344473b4e5b,B000017,U00455,A0025,travelprime.com,0
4d680f0d-fcb0-4ecb-abec-be6882059053,B000017,U00455,A0025,yahoo.com,0
123c723d-9bcb-4a5c-acda-8d14cfe4d379,B000018,U00183,A0010,bookmyflight.in,0
03c4e734-d6ad-48a7-8773-f1aa98c0cf12,B000018,U00183,A0010,tripstation.com,0
82be0a30-fe65-4a17-846b-11ea2eddd8da,B000018,U00183,A0010,bookmyflight.in,0
24993b9c-08c6-45ef-b14a-d3c84b3d0990,B000019,U00156,A0153,airventure.com,0
6f897509-9e32-45d1-a49f-a76a74d820b5,B000019,U00156,A0153,airventure.com,0
2ba142f6-3a4b-4bfe-a022-bfa7b23f7f59,B000020,U00274,A0067,airsync.in,0
f4b352ff-21ed-4bbc-98ce-42f630e66672,B000020,U00274,A0067,airsync.in,0
4abb2616-8186-43cf-ae8f-cf73eda8c788,B000021,U00245,A0005,trashmail.net,1
85278359-b166-42af-8d69-133980115724,B000021,U00245,A0005,transwings.com,0
e50e7344-0957-4f11-8860-3d443990f43f,B000021,U00245,A0005,discard.email,1
fa8136d9-bf18-4b12-bb2d-48ad59b5d165,B000021,U00245,A0005,gmail.com,0
54c1eda3-9760-4580-b41e-71c2960ab1b7,B000021,U00245,A0005,discard.email,1
fe6bfdd2-edbd-463e-b280-39521936b170,B000021,U00245,A0005,hotmail.com,0
3a0a690d-ab51-48cf-bb0a-d44e15b6dd96,B000021,U00245,A0005,sharklasers.com,1
